stack=a5n_s0_ch1;stackdb=a5n_s0_db2;saveTime=3531199714.238000;version=20151102_v1;numHeaderRow=1;
On,Idx,sID,gID,start,stop,n,um,nObj,r,c,flipDendrite,flipSpines,swcFile,startIs,stopIs
,0,0,NaN,0,184,185,10,5,.1,57,0,0,,,,
node,type,x,y,z,zFloor,radius,radiusFit,prevNode,ID,gID,tx,ty,tz,sDist,pDist,Filament,SetID,GroupID,
NaN,NaN,14.175000,25.785000,7.000000,7.000000,NaN,NaN,131.000000,0.000000,NaN,NaN,NaN,NaN,7.142528,7.142528,NaN,NaN,NaN,
NaN,NaN,14.130000,25.740000,7.000000,7.000000,NaN,NaN,132.000000,0.000000,NaN,NaN,NaN,NaN,7.206167,7.206167,NaN,NaN,NaN,
NaN,NaN,14.130000,25.695000,7.000000,7.000000,NaN,NaN,133.000000,0.000000,NaN,NaN,NaN,NaN,7.251167,7.251167,NaN,NaN,NaN,
NaN,NaN,14.085000,25.650000,7.000000,7.000000,NaN,NaN,134.000000,0.000000,NaN,NaN,NaN,NaN,7.314807,7.314807,NaN,NaN,NaN,
NaN,NaN,14.040000,25.605000,7.000000,7.000000,NaN,NaN,135.000000,0.000000,NaN,NaN,NaN,NaN,7.378447,7.378447,NaN,NaN,NaN,
NaN,NaN,13.995000,25.559999,7.000000,7.000000,NaN,NaN,136.000000,0.000000,NaN,NaN,NaN,NaN,7.442087,7.442087,NaN,NaN,NaN,
NaN,NaN,13.995000,25.559999,7.000000,7.000000,NaN,NaN,137.000000,0.000000,NaN,NaN,NaN,NaN,7.442087,7.442087,NaN,NaN,NaN,
NaN,NaN,13.995000,25.514999,7.000000,7.000000,NaN,NaN,138.000000,0.000000,NaN,NaN,NaN,NaN,7.487087,7.487087,NaN,NaN,NaN,
NaN,NaN,13.950000,25.469999,7.000000,7.000000,NaN,NaN,139.000000,0.000000,NaN,NaN,NaN,NaN,7.550726,7.550726,NaN,NaN,NaN,
NaN,NaN,13.950000,25.424999,7.000000,7.000000,NaN,NaN,140.000000,0.000000,NaN,NaN,NaN,NaN,7.595726,7.595726,NaN,NaN,NaN,
NaN,NaN,13.905000,25.379999,7.000000,7.000000,NaN,NaN,141.000000,0.000000,NaN,NaN,NaN,NaN,7.659366,7.659366,NaN,NaN,NaN,
NaN,NaN,13.905000,25.334999,7.000000,7.000000,NaN,NaN,142.000000,0.000000,NaN,NaN,NaN,NaN,7.704366,7.704366,NaN,NaN,NaN,
NaN,NaN,13.860000,25.290001,7.000000,7.000000,NaN,NaN,143.000000,0.000000,NaN,NaN,NaN,NaN,7.768004,7.768004,NaN,NaN,NaN,
NaN,NaN,13.860000,25.245001,7.000000,7.000000,NaN,NaN,144.000000,0.000000,NaN,NaN,NaN,NaN,7.813004,7.813004,NaN,NaN,NaN,
